Row Labels,Sum of Sum
Gilles LaFramboise ,1
Vicky A. Gray ,1
Birgit ,1
Michael Sims ,1
Graeme Burns ,1
Mike ,1
Gregory Taylor ,1
Montez ,1
Blind ,1
Curry ,1
HÌÄå©lÌÄå¬ne Naud ,1
Neufeld ,1
Boardmaker ,1
DÌÄå©terminez ,1
Hand ,1
Dale ,1
Harley ,1
Archimedes ,1
Helen M. Menzies ,1
Perry Kinkaide ,1
Husum ,1
Pierre Trescases ,1
Hutchinson ,1
Porter ,1
Bob Beck ,1
Qin Chang ,1
Bob Davies ,1
Randy Goebel ,1
Inuit ,1
Rei ,1
Irving Wladawsky Berger ,1
Rideau Hall ,1
J. Claude Romney ,1
Robert A. Seidel ,1
Boileau ,1
Davies ,1
James Clerk Maxwell Telescope ,1
Roger Curry ,1
Bonhomme Carnaval ,1
Ryan Lailey ,1
James Wickson ,1
Sandra Weber ,1
Janey ,1
Dennis ,1
Janice A. ,1
Smith ,1
Janice A. Leroux ,1
Stelmach ,1
Jarod Letendre ,1
Beaucoup ,1
Jason Daniels ,1
Sutherland ,1
Jasper Avenue ,1
Ted Dodds ,1
Brad Murray ,1
Tim Wu ,1
Addario ,1
Duncan Nickerson ,1
Jeff Howeof ,1
Ed ,1
Jill Kowalchuk ,1
Visionnez ,1
Jim Ghadbane ,1
Wally ,1
Bradley C. Wheeler ,1
Michel Savoie ,1
Jingle ,1
Michelle Jones ,1
Alina ,1
Mike Scarth ,1
Brian Fleck ,1
Monsieur ,1
Allophone ,1
Cree ,1
John Kao ,1
Anne ,1
John Shillington ,1
Myriam Met ,1
Johnny ,1
Naini ,1
Callie ,1
Nichola Sollid ,1
JosÌÄå©e ,1
Cyberawill ,1
Wayne Karpoff ,1
Palliser ,1
AndrÌÄå© ,1
Pascal ,1
Wheeler ,1
Paul Lu ,1
Canada ,1
Dan Violence ,1
Wu ,1
DataGardens ,1
Zwarun ,1
Penuel ,1
 Dirren ,1
Peter Mansbridge ,1
Keray Henke ,1
Petr Musilek ,1
Kevin Hartig ,1
Pinel ,1
Cavanagh ,1
Planifiez ,1
Kutscher ,1
PrÌÄå©sentez ,1
Ceci ,1
Dave Hancock ,1
La Francophonie ,1
R. Bryce ,1
Laissez ,1
David ,1
Lapkin ,1
RAS Les ,1
Lazaruk ,1
Adam ,1
Le FRANCO ,1
David Hancock ,1
LeBlanc ,1
David M. Romney ,1
Lemke ,1
Rioux ,1
Leroux ,1
Rivard ,1
Andrew ,1
Alejandro Moreno ,1
Andrew Bjerring ,1
David Mitchell ,1
Lisa Marie Perkins ,1
Robichaud ,1
LittÌÄå©ratie JournÌÄå©e ,1
Rocher PercÌÄå© ,1
Livingston ,1
Ron Liepert ,1
Lorenz ,1
Dean ,1
Louis Savoie ,1
Sam Radke ,1
Lui ,1
Sandra ,1
Cheryl Croucher ,1
Sandro ,1
MacFarlane ,1
Denis ThÌÄå©rien ,1
Andrew Morrant ,1
Sharon ,1
Mady ,1
Slashdot ,1
Andrew Nisbet ,1
Diane Finley ,1
Mandy R. Menke ,1
Stanley Vanrnhagen ,1
Chris Herd ,1
Stephen Harper ,1
Margaret Fitch ,1
Stuart Kauffman ,1
Marjorie Bingham Wesche ,1
SuperNet ,1
Clar ,1
Susan Baldwin ,1
Clarence ,1
Donley ,1
Martin ,1
Doug Horner ,1
Angie Tarasoff ,1
Thibeault ,1
Martine Cavanagh ,1
Tim Draper ,1
Marvin Fritzler ,1
Tina ,1
McGillivray ,1
Drew McNaughton ,1
Mel Wong ,1
Trevor Woods ,1
Claudine Courtel ,1
Duval ,1
Merrill Swain ,1
Valerie Argue ,1
Clayoquot ,1
Beck ,1
Clement ,1
Bennett ,1
Anita L. Arduini ,1
Edward Island ,1
Michael MacGregor ,1
Bernard ,1
Craig Dunbar ,1
WestGrid ,1
Joy Zabala ,1
Winsor ,1
Julie Johnstone ,1
Wong ,1
Kathryn Moyle ,1
Zucker ,1
Kauffman ,1
Ken Fields ,1
Ken Marcellus ,1
(blank),
Grand Total,652
